iter	Passed	Remaining
430	15120	19962
431	15156	19927
432	15189	19890
433	15222	19852
434	15255	19814
435	15293	19783
436	15327	19747
437	15362	19712
438	15399	19678
439	15432	19641
440	15466	19605
441	15505	19575
442	15542	19541
443	15577	19506
444	15612	19471
445	15651	19441
446	15686	19405
447	15724	19374
448	15759	19339
449	15791	19300
450	15826	19265
451	15860	19228
452	15894	19192
453	15931	19160
454	15967	19125
455	16002	19090
456	16039	19057
457	16073	19020
458	16109	18987
459	16146	18954
460	16181	18919
461	16216	18884
462	16251	18848
463	16287	18814
464	16323	18780
465	16358	18745
466	16395	18712
467	16428	18675
468	16459	18634
469	16495	18601
470	16530	18565
471	16569	18535
472	16603	18499
473	16637	18462
474	16671	18426
475	16704	18389
476	16734	18348
477	16769	18313
478	16800	18274
479	16837	18240
480	16870	18202
481	16908	18171
482	16941	18133
483	16978	18101
484	17011	18063
485	17049	18031
486	17085	17997
487	17119	17961
488	17153	17924
489	17186	17888
490	17225	17857
491	17260	17821
492	17294	17785
493	17328	17749
494	17366	17717
495	17398	17678
496	17436	17646
497	17468	17609
498	17505	17576
499	17541	17541
500	17578	17507
501	17612	17472
502	17648	17438
503	17686	17405
504	17719	17368
505	17752	17331
506	17791	17299
507	17826	17265
508	17866	17234
509	17902	17200
510	17937	17165
511	17971	17129
512	18009	17096
513	18043	17060
514	18076	17023
515	18108	16985
516	18147	16953
517	18180	16917
518	18218	16884
519	18251	16847
520	18287	16812
521	18322	16777
522	18357	16743
523	18391	16706
524	18425	16670
525	18459	16635
526	18494	16599
527	18529	16564
528	18561	16526
529	18597	16491
530	18634	16458
531	18668	16422
532	18706	16390
533	18743	16356
534	18776	16320
535	18811	16284
536	18845	16248
537	18882	16214
538	18919	16181
539	18954	16146
540	18992	16113
541	19028	16079
542	19059	16040
543	19090	16002
544	19125	15967
545	19159	15931
546	19194	15895
547	19227	15859
548	19262	15824
549	19297	15789
550	19334	15755
551	19368	15718
552	19404	15684
553	19440	15650
554	19475	15615
555	19509	15579
556	19545	15545
557	19581	15510
558	19616	15475
559	19650	15439
560	19684	15403
561	19718	15367
562	19754	15333
563	19787	15296
564	19823	15262
565	19857	15226
566	19891	15190
567	19923	15152
568	19960	15119
569	19997	15086
570	20032	15050
571	20075	15021
572	20111	14987
573	20148	14953
574	20182	14917
575	20223	14887
576	20262	14854
577	20301	14821
578	20337	14787
579	20379	14757
580	20418	14724
581	20453	14690
582	20488	14654
583	20535	14628
584	20572	14594
585	20608	14559
586	20644	14525
587	20683	14492
588	20718	14457
589	20754	14422
590	20792	14389
591	20830	14355
592	20870	14324
593	20906	14289
594	20949	14260
595	20981	14222
596	21021	14190
597	21054	14153
598	21091	14119
599	21124	14082
600	21162	14049
601	21195	14012
602	21232	13978
603	21265	13942
604	21304	13909
605	21345	13878
606	21381	13843
607	21413	13805
608	21449	13771
609	21484	13736
610	21521	13702
611	21553	13664
612	21587	13628
613	21624	13594
614	21656	13557
615	21694	13523
616	21727	13487
617	21762	13451
618	21795	13415
619	21835	13382
620	21870	13347
621	21905	13312
622	21939	13276
623	21977	13242
624	22009	13205
625	22050	13173
626	22086	13139
627	22123	13104
628	22158	13069
629	22196	13036
630	22230	13000
631	22263	12963
632	22299	12928
633	22334	12893
634	22369	12858
635	22404	12822
636	22444	12790
637	22487	12759
638	22521	12723
639	22556	12688
640	22593	12653
641	22626	12617
642	22664	12583
643	22698	12547
644	22732	12511
645	22768	12476
646	22802	12441
647	22837	12405
648	22872	12370
649	22907	12334
650	22939	12297
651	22975	12262
652	23009	12227
653	23041	12190
654	23079	12156
655	23116	12122
656	23149	12085
657	23186	12051
658	23220	12015
659	23255	11980
660	23292	11945
661	23329	11911
662	23362	11875
663	23395	11838
664	23431	11803
665	23463	11767
666	23497	11731
667	23531	11695
668	23568	11661
669	23601	11624
670	23639	11590
671	23675	11556
672	23707	11519
673	23740	11482
674	23778	11448
675	23811	11412
676	23850	11378
677	23888	11345
678	23955	11325
679	24376	11471
680	24414	11436
681	24451	11401
682	24486	11364
683	24522	11329
684	24558	11293
685	24596	11258
686	24632	11222
687	24668	11187
688	24704	11150
689	24737	11114
690	24770	11076
691	24807	11041
692	24842	11005
693	24879	10969
694	24913	10933
695	24949	10897
696	24984	10861
697	25021	10825
698	25059	10790
699	25099	10757
700	25134	10720
701	25168	10684
702	25204	10648
703	25241	10612
704	25275	10576
705	25311	10540
706	25346	10504
707	25382	10468
708	25417	10432
709	25453	10396
710	25488	10360
711	25521	10323
712	25558	10288
713	25595	10252
714	25630	10216
715	25665	10180
716	25705	10146
717	25745	10111
718	25779	10075
719	25815	10039
720	25847	10001
721	25887	9967
722	25923	9931
723	25958	9895
724	25993	9859
725	26029	9823
726	26070	9789
727	26109	9755
728	26142	9718
729	26178	9682
730	26213	9646
731	26252	9611
732	26284	9574
733	26320	9538
734	26354	9501
735	26390	9466
736	26423	9429
737	26458	9393
738	26497	9358
739	26532	9322
740	26566	9285
741	26602	9250
742	26638	9214
743	26671	9177
744	26707	9141
745	26741	9105
746	26779	9069
747	26813	9033
748	26846	8996
749	26885	8961
750	26924	8926
751	26959	8890
752	26997	8855
753	27029	8818
754	27065	8782
755	27102	8747
756	27141	8712
757	27175	8676
758	27212	8640
759	27246	8604
760	27308	8576
761	27415	8562
762	27870	8657
763	27909	8621
764	27944	8584
765	27983	8548
766	28020	8511
767	28058	8476
768	28095	8439
769	28133	8403
770	28170	8367
771	28205	8330
772	28243	8293
773	28281	8257
774	28313	8220
775	28351	8184
776	28389	8147
777	28432	8113
778	28550	8099
779	28962	8169
780	29002	8132
781	29042	8096
782	29081	8059
783	29121	8023
784	29157	7985
785	29194	7948
786	29230	7911
787	29269	7874
788	29305	7836
789	29342	7799
790	29381	7763
791	29423	7727
792	29460	7690
793	29497	7653
794	29533	7615
795	29569	7578
796	29608	7541
797	29648	7504
798	29681	7466
799	29714	7428
800	29749	7390
801	29784	7353
802	29823	7316
803	29859	7279
804	29897	7242
805	29931	7204
806	29972	7168
807	30007	7130
808	30043	7093
809	30071	7053
810	30106	7016
811	30138	6977
812	30172	6940
813	30208	6902
814	30242	6864
815	30281	6828
816	30317	6790
817	30351	6753
818	30391	6716
819	30426	6678
820	30464	6642
821	30499	6604
822	30535	6567
823	30570	6529
824	30607	6492
825	30639	6454
826	30676	6417
827	30712	6379
828	30748	6342
829	30780	6304
830	30820	6268
831	30855	6230
832	30889	6192
833	30925	6155
834	30962	6118
835	30997	6080
836	31033	6043
837	31067	6005
838	31103	5968
839	31138	5931
840	31176	5894
841	31213	5857
842	31250	5820
843	31286	5782
844	31320	5745
845	31355	5707
846	31390	5670
847	31427	5633
848	31462	5595
849	31499	5558
850	31535	5521
851	31570	5484
852	31605	5446
853	31642	5409
854	31677	5372
855	31709	5334
856	31745	5297
857	31781	5259
858	31815	5222
859	31854	5185
860	31886	5147
861	31921	5110
862	31955	5072
863	31991	5035
864	32025	4998
865	32059	4960
866	32096	4923
867	32138	4887
868	32172	4849
869	32208	4812
870	32245	4775
871	32282	4738
872	32318	4701
873	32355	4664
874	32391	4627
875	32426	4590
876	32462	4552
877	32498	4515
878	32534	4478
879	32569	4441
880	32603	4403
881	32638	4366
882	32672	4329
883	32707	4291
884	32742	4254
885	32776	4217
886	32812	4180
887	32847	4142
888	32881	4105
889	32916	4068
890	32954	4031
891	32990	3994
892	33025	3957
893	33062	3920
894	33097	3882
895	33132	3845
896	33165	3808
897	33201	3771
898	33235	3733
899	33270	3696
900	33303	3659
901	33338	3622
902	33374	3585
903	33411	3548
904	33446	3511
905	33481	3473
906	33516	3436
907	33548	3399
908	33585	3362
909	33616	3324
910	33650	3287
911	33685	3250
912	33720	3213
913	33754	3176
914	33789	3138
915	33829	3102
916	33863	3065
917	33899	3028
918	33934	2990
919	33968	2953
920	34004	2916
921	34039	2879
922	34074	2842
923	34108	2805
924	34144	2768
925	34179	2731
926	34215	2694
927	34251	2657
928	34287	2620
929	34321	2583
930	34355	2546
931	34392	2509
932	34425	2472
933	34459	2435
934	34493	2397
935	34528	2360
936	34563	2323
937	34600	2287
938	34633	2249
939	34670	2213
940	34703	2175
941	34740	2139
942	34776	2102
943	34811	2065
944	34849	2028
945	34882	1991
946	34916	1954
947	34952	1917
948	34986	1880
949	35018	1843
950	35055	1806
951	35089	1769
952	35122	1732
953	35156	1695
954	35192	1658
955	35226	1621
956	35261	1584
957	35297	1547
958	35330	1510
959	35364	1473
960	35398	1436
961	35434	1399
962	35467	1362
963	35501	1325
964	35534	1288
965	35569	1251
966	35604	1215
967	35639	1178
968	35673	1141
969	35708	1104
970	35743	1067
971	35776	1030
972	35814	993
973	35847	956
974	35882	920
975	35918	883
976	35953	846
977	35987	809
978	36022	772
979	36061	735
980	36095	699
981	36132	662
982	36166	625
983	36201	588
984	36236	551
985	36271	515
986	36304	478
987	36340	441
988	36372	404
989	36411	367
990	36445	330
991	36482	294
992	36515	257
993	36547	220
994	36579	183
995	36616	147
996	36650	110
997	36687	73
998	36723	36
999	36755	0
