iter	Accuracy	MultiClass
80	0.9241773963	0.6644664718
81	0.9256080114	0.6570832541
82	0.9284692418	0.6497798167
83	0.9241773963	0.6443827331
84	0.9298998569	0.638502681
85	0.9313304721	0.6329955731
86	0.9284692418	0.6267533272
87	0.9313304721	0.6206140195
88	0.9313304721	0.6149925529
89	0.9313304721	0.610642632
90	0.9298998569	0.6051455219
91	0.9298998569	0.5990894336
92	0.9327610873	0.5922645646
93	0.9370529328	0.5885328905
94	0.9356223176	0.5840622043
95	0.9327610873	0.5800531784
96	0.9399141631	0.5742040061
97	0.9413447783	0.5696730458
98	0.9413447783	0.565295022
99	0.9427753934	0.5583356773
100	0.9456366237	0.5544660734
101	0.9470672389	0.5502975657
102	0.9484978541	0.54642432
103	0.9484978541	0.5423617353
104	0.9484978541	0.538070893
105	0.9484978541	0.5324759374
106	0.9470672389	0.5275632878
107	0.9470672389	0.5225598537
108	0.9484978541	0.5177722482
109	0.9484978541	0.5137047797
110	0.9499284692	0.5100847648
111	0.9484978541	0.5052371197
112	0.9527896996	0.5011068233
113	0.9513590844	0.4983197698
114	0.9527896996	0.4951123222
115	0.9556509299	0.4915302853
116	0.9527896996	0.4887066478
117	0.9542203147	0.4862886255
118	0.9542203147	0.4819132849
119	0.9556509299	0.4770839383
120	0.9570815451	0.4737678106
121	0.9599427754	0.4706242469
122	0.9613733906	0.4682719303
123	0.9613733906	0.4645293529
124	0.9613733906	0.4606560124
125	0.9628040057	0.4584256886
126	0.9599427754	0.4552895713
127	0.9613733906	0.4514785147
128	0.9613733906	0.4475913712
129	0.9613733906	0.4447459735
130	0.9613733906	0.4426643506
131	0.9613733906	0.4392904968
132	0.9642346209	0.4377882001
133	0.9642346209	0.4349976691
134	0.9613733906	0.4329904709
135	0.9642346209	0.4296393533
136	0.9642346209	0.4278403137
137	0.9642346209	0.4249735229
138	0.9642346209	0.4237201504
139	0.9642346209	0.4211993758
140	0.9642346209	0.4186472859
141	0.9642346209	0.4157131378
142	0.9656652361	0.4123320368
143	0.9670958512	0.4097792676
144	0.9670958512	0.4077610302
145	0.9670958512	0.4044151664
146	0.9670958512	0.4031921342
147	0.9670958512	0.400955456
148	0.9699570815	0.3986454182
149	0.9699570815	0.397038183
150	0.9699570815	0.3939761675
151	0.9713876967	0.3912106985
152	0.9713876967	0.3887071819
153	0.9728183119	0.386458025
154	0.9699570815	0.383529172
155	0.9728183119	0.3811565824
156	0.9713876967	0.3784272787
157	0.974248927	0.375598006
158	0.9756795422	0.3739257306
159	0.9756795422	0.3716667639
160	0.9756795422	0.3687678745
161	0.9756795422	0.367155831
162	0.9771101574	0.3646583821
163	0.9771101574	0.3629256279
164	0.9756795422	0.3607726532
165	0.9771101574	0.3591582187
166	0.9771101574	0.3570908812
167	0.9771101574	0.3556838885
168	0.9771101574	0.3535058909
169	0.9756795422	0.3523334517
170	0.9771101574	0.3501375493
171	0.9771101574	0.348709261
172	0.9771101574	0.3479841232
173	0.9771101574	0.3460630279
174	0.9771101574	0.3434667336
175	0.9771101574	0.3420443088
176	0.9771101574	0.3415158603
177	0.9785407725	0.3403968473
178	0.9785407725	0.3387727893
179	0.9799713877	0.3369074458
180	0.9799713877	0.3352618562
181	0.9785407725	0.3334883165
182	0.9785407725	0.3321561126
183	0.9799713877	0.3309180384
184	0.9814020029	0.3289065793
185	0.9814020029	0.3276070102
186	0.9814020029	0.3262358362
187	0.9814020029	0.3245574155
188	0.9814020029	0.3225016594
189	0.9814020029	0.3207340871
190	0.982832618	0.3188127249
191	0.982832618	0.3172635258
192	0.982832618	0.3159273314
193	0.982832618	0.3141366234
194	0.982832618	0.3125720061
195	0.982832618	0.3119544661
196	0.9842632332	0.310635737
197	0.9842632332	0.3094874834
198	0.9842632332	0.3070749721
199	0.9842632332	0.3051395946
